Titre,Entreprise,Localisation,Date,Lien,Domaine
Chef d´Entretien - Zarzis,HORCHANI GROUP,Médenine,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chef-entretien-zarzis-298600,Tourisme
Agent de Charcuterie - Sfax,SHOPPING CLUB,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-charcuterie-sfax-299401,Tourisme
Agent de Voyages - Monastir,STE KAYAN VOYAGES,Monastir,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-voyages-monastir-301700,Tourisme
Gérante D´une Maison D´Hôtes - Hammamet,DAR HAMMAMET,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/gerante-maison-hotes-hammamet-302312,Tourisme
Gestionnaire d´une Maison d´Hôtes - Hammamet,DAR HAMMAMET,Nabeul,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/gestionnaire-maison-hotes-hammamet-302314,Tourisme
Barista - Tunis,KFC TUNISIA,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/barista-tunis-306718,Tourisme
Agent de Réservation - Lac 1,TUNISIE INTERIM,Ariana - Ben Arous & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-reservation-lac-1-308983,Tourisme
"Coordinateur Douane Import - Export Transport H/F - Tunis, Charguia 1",AGS CARTHAGO MOVING AND STORAGE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/coordinateur-douane-import-export-transport-hf-tunis-147142,Transport
Responsable Opérations dans le Déménagement International - Tunis Carthage,AGS CARTHAGO MOVING AND STORAGE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-operations-demenagement-international-tunis-carthage-218562,Transport
Chauffeur - Sfax,SADLIN TRANSPORT,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chauffeur-sfax-283024,Transport
Dispatcheur Bilingue : Français et Anglais - Tunis,HAIMOUR INTERNATIONAL,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/dispatcheur-bilingue-francais-anglais-tunis-290806,Transport
Directeur Qualité - Ben Arous,PAMACO,Ariana - Ben Arous - Bizerte & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/directeur-qualite-ben-arous-294985,Transport
Livreur - Sfax,STE EXCELLENT.PMPM,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/livreur-sfax-298626,Transport
Chauffeur (H/F) - Monastir,OMH TRAVEL SERVICE,Monastir - Sousse & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/chauffeur-hf-monastir-298902,Transport
Chargé de Clientèle – Soir - Sousse,ZIGZAG DELIVERY,Sousse,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/charge-clientele-soir-sousse-300290,Transport
Transitaire - Sfax Sud,SOCOMEM,Sfax,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/transitaire-sfax-sud-301803,Transport
"Magasinier H/F - ZI Mghira I, Lot 120 Rue Ben Arous 2082",BONTAZ TUNISIE,Ben Arous,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/magasinier-hf-zi-mghira-i-lot-120-rue-ben-arous-2082-303243,Transport
Agent de Transit - Zone Industrielle Sidi Daoued La Marsa,BSB SA- TOYOTA,Ariana & Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/agent-transit-zone-industrielle-sidi-daoued-marsa-306685,Transport
Assistant Supply Chain - Mégrine,SGH MEDICAL PHARMA TUNISIE,Tunis,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/assistant-supply-chain-megrine-308170,Transport
Supply Chain Manager - Jbel Ouest,BETYLE CONSULTING,Zaghouan,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/supply-chain-manager-jbel-ouest-309088,Transport
Responsable Magasin et Gestion de Stock - Jbel Ouest,BETYLE CONSULTING,Zaghouan,2025-10-03,https://www.emploitunisie.com/offre-emploi-tunisie/responsable-magasin-gestion-stock-jbel-ouest-309540,Transport
